Question,Instruction,Answer
App or Add-in Names (Translated in English)(GEN01_appNameTranslated),"Please translate app or add-in names in English, if applicable",CertScore.ai Website Privacy Scanner MCP for Microsoft
Enter the link to your company's website.(GEN37_companyWebsiteUrl),The character limit is 500.,https://certscore.ai
Enter the link to the app's Terms of Use.(GEN39_termsOfUseUrl),This is pre-populated data from your app service information. Please update it as needed.,https://certscore.ai/terms
Describe the core functionality of your app in 500 characters or fewer.(GEN26_shortDescription),This is pre-populated data from your app service information. Please update it as needed.,"Scans public websites for observable accessibility, privacy, cookie, tracker, consent, policy, disclosure, and HTTPS/TLS risk signals. Results are evidence-led review aids, not legal advice, certification, or compliance determinations."
Is AI functionality part of your app's core features or workflows?(GEN17_aiFunctionality),Input a True or False value.,True
Select the country or region where your company is headquartered.(GEN13_mcasLocationHQ),"Select one of the following values: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , .",United States
Does the app have an info page?(GEN30_hasAppInfoUrl),Input a True or False value.,True
    Enter the link to the app's info page.(GEN30_appInfoUrl),The URL to a webpage containing more information about the application. The character limit is 500.,https://certscore.ai/developers/mcp
What is the hosting environment or service model used to run your app?(GEN20_hostingEnvironment),"The hosting environment of the backend services or code repositories will be in scope for the Microsoft 365 Certification. Please identify the hosting type; IaaS = Infrastructure as a Service, PaaS/Serverless = Platform as a Service, ISV hosted = The hosting environment is owned and/or operated by yourself (i.e. your own data centers or co-location in a third-party data center), Hybrid = The environment can be made up of multiple hosting types (i.e. ISV Hosted and PaaS).
		Please be aware that if you have any VM's which you have administrative control over within your environment, (even if just one) for the purposes of this certification you are classed as IaaS.",PaaS/Serverless
Which hosting cloud providers does the app use?(GEN16_mcasHostingCompanyName),"Select one or more of the following values: Azure, , Google Cloud Platform, VMware Cloud, IBM Cloud, Oracle Cloud, Alibaba Cloud, .","Amazon Web Services (AWS), Azure"
Customer support contact.(GEN31_customerContact),Please provide an email address customers can use when they have questions or find bugs with your app.,support@certscore.ai
Additional Contact.(GEN32_additionalContact),Please provide an additional email address our team can use to contact you if we have questions about your attestation.,privacy@certscore.ai
,,
Does the app or the app's underlying infrastructure process any data relating to a Microsoft customer or their device?(DHP_G07_customerDataProcess),"Input True or False value.If your app processes or stores any Microsoft customer data such as ANY data consumed from Microsoft resource endpoints such as Microsoft Graph or the customer tenant, select yes. If not, select no.",True
